,state,county,area_sqmi,epl_pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,rpl_theme1,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,rpl_theme2,epl_minrty,epl_limeng,spl_theme3,rpl_theme3,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,rpl_theme4,spl_themes,rpl_themes,f_pov,f_unemp,f_pci,f_nohsdp,f_theme1,f_age65,f_age17,f_disabl,f_sngpnt,f_theme2,f_minrty,f_limeng,f_theme3,f_munit,f_mobile,f_crowd,f_noveh,f_groupq,f_theme4,f_total
0,ALABAMA,Autauga,594.4434589,0.5401,0.2745,0.286,0.4397,1.5403,0.3631,0.185,0.7529,0.7905,0.3792,2.1076,0.581,0.6336,0.5113,1.1449,0.5947,0.6017,0.7408,0.2964,0.4846,0.1525,2.276,0.3741,7.0688,0.4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALABAMA,Baldwin,1589.7930067,0.2239,0.3121,0.2057,0.3209,1.0626,0.2232,0.6428,0.4323,0.3524,0.1391,1.5666,0.199,0.5158,0.3582,0.874,0.4358,0.9713,0.5339,0.2604,0.1328,0.3018,2.2002,0.3359,5.7034,0.2162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2,ALABAMA,Barbour,885.0016356,0.9631,0.9217,0.9481,0.9701,3.803,0.978,0.4893,0.3327,0.9064,0.9468,2.6752,0.9153,0.8965,0.7052,1.6017,0.8558,0.2416,0.928,0.8198,0.8685,0.9449,3.8028,0.9889,11.8827,0.9959,1,1,1,1,4,0,0,1,1,2,0,0,0,0,1,0,0,1,2,8
3,ALABAMA,Bibb,622.4610887,0.443,0.7895,0.8987,0.7351,2.8663,0.7694,0.32,0.2846,0.6074,0.1706,1.3826,0.1203,0.639,0.227,0.866,0.4323,0.4317,0.9207,0.0981,0.5441,0.9214,2.916,0.7189,8.0309,0.6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2
4,ALABAMA,Blount,644.8304602,0.4723,0.2611,0.7561,0.8405,2.33,0.6143,0.4715,0.6406,0.3763,0.2961,1.7845,0.3187,0.4206,0.717,1.1376,0.5915,0.1512,0.8816,0.3703,0.242,0.1165,1.7616,0.1741,7.0137,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ALABAMA,Bullock,622.8053678,0.9777,0.9599,0.8924,0.9491,3.7791,0.9771,0.2572,0.2967,0.3983,0.9955,1.9477,0.4438,0.9809,0.297,1.2779,0.6749,0.32,0.9637,0.0,0.95,0.7689,3.0026,0.765,10.0073,0.8898,1,1,0,1,3,0,0,0,1,1,1,0,1,0,1,0,1,0,2,7
6,ALABAMA,Butler,776.8382008,0.886,0.6968,0.8879,0.6753,3.146,0.8455,0.5928,0.5578,0.6845,0.8185,2.6536,0.9077,0.8711,0.3582,1.2293,0.6447,0.2416,0.894,0.4457,0.7685,0.3792,2.729,0.6259,9.7579,0.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ALABAMA,Calhoun,605.8672514,0.7322,0.885,0.6076,0.6988,2.9236,0.7866,0.3664,0.4323,0.8564,0.8077,2.4628,0.8303,0.6616,0.5791,1.2407,0.6507,0.5931,0.6396,0.4056,0.5142,0.625,2.7775,0.6492,9.4046,0.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ALABAMA,Chambers,596.560643,0.6258,0.4166,0.7465,0.7966,2.5855,0.6901,0.5817,0.2846,0.6074,0.7316,2.2053,0.6609,0.8437,0.0707,0.9144,0.4597,0.624,0.6192,0.7622,0.7224,0.3457,3.0735,0.7943,8.7787,0.7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ALABAMA,Cherokee,553.5248315,0.5127,0.5172,0.7096,0.8405,2.58,0.6879,0.8055,0.255,0.8249,0.0665,1.9519,0.4492,0.2843,0.297,0.5813,0.2751,0.3725,0.928,0.3359,0.2248,0.185,2.0462,0.2741,7.1594,0.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
10,ALABAMA,Chilton,692.8511876,0.7322,0.7481,0.6131,0.7692,2.8626,0.7685,0.2748,0.7529,0.6845,0.7994,2.5116,0.8513,0.5619,0.7491,1.311,0.6966,0.1188,0.9554,0.7065,0.3572,0.1165,2.2544,0.3636,8.9396,0.7602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
11,ALABAMA,Choctaw,913.467075,0.8567,0.9516,0.7889,0.7966,3.3938,0.9057,0.8249,0.2471,0.9911,0.5938,2.6569,0.9083,0.8357,0.297,1.1327,0.5896,0.1958,0.9478,0.2964,0.9096,0.3018,2.6514,0.5775,9.8348,0.8748,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,4
12,ALABAMA,Clarke,1238.4198912,0.9258,0.9831,0.8516,0.8039,3.5644,0.9436,0.5928,0.4642,0.6422,0.4518,2.151,0.6167,0.8644,0.0707,0.9351,0.4763,0.3391,0.8984,0.4457,0.914,0.3457,2.9429,0.7345,9.5934,0.8471,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
13,ALABAMA,Clay,603.960762,0.7236,0.6545,0.7236,0.9443,3.046,0.8162,0.6679,0.3327,0.4804,0.7316,2.2126,0.6673,0.5594,0.297,0.8564,0.4247,0.0691,0.8023,0.1223,0.242,0.4728,1.7085,0.1579,7.8235,0.564,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,ALABAMA,Cleburne,560.1042486,0.7271,0.7895,0.8013,0.915,3.2329,0.8694,0.5718,0.5915,0.9195,0.1251,2.2079,0.6632,0.2518,0.4642,0.716,0.3419,0.0691,0.9357,0.1223,0.2114,0.185,1.5235,0.1,7.6803,0.5417,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3
15,ALABAMA,Coffee,678.9858208,0.5229,0.5669,0.4022,0.5922,2.0842,0.5373,0.32,0.6826,0.6845,0.7316,2.4187,0.8067,0.6883,0.6718,1.3601,0.7256,0.1512,0.6065,0.2964,0.5441,0.2184,1.8166,0.1923,7.6796,0.5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ALABAMA,Colbert,592.7446865,0.6032,0.5669,0.5927,0.6855,2.4483,0.6519,0.6234,0.3505,0.7574,0.5053,2.2366,0.6858,0.5817,0.227,0.8087,0.397,0.4037,0.4355,0.0322,0.5626,0.0936,1.5276,0.1025,7.0212,0.4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
